Id,Label,timeset,componentnumber,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
MateusSodr3,MateusSodr3,,0,2,0.000146,0,1,1,0,1,1
EUTOMMARANGONI,EUTOMMARANGONI,,0,2,0.036432,394,1,395,394,1,395
ClaraSouzv,ClaraSouzv,,0,2,0.000146,0,3,3,0,3,3
CoisinhaBonita,CoisinhaBonita,,0,2,0.006657,97,0,97,104,0,104
pesados_memes,pesados_memes,,0,0,0.011371,126,0,126,126,0,126
mwrtymcfly,mwrtymcfly,,0,2,0.01418,53,1,54,53,1,54
V_presalino,V_presalino,,0,2,0.000146,0,1,1,0,1,1
giovaneml,giovaneml,,0,2,0.003791,41,0,41,41,0,41
Marcelle_Alejan,Marcelle_Alejan,,0,2,0.000146,0,3,3,0,3,3
viciadoemler,viciadoemler,,0,2,0.00445,99,0,99,99,0,99
werther_k,werther_k,,0,2,0.002939,55,0,55,55,0,55
cacarosset,cacarosset,,0,2,0.006029,87,0,87,87,0,87
SrtaGabriellyV,SrtaGabriellyV,,0,2,0.000146,0,1,1,0,1,1
MADmemesBR,MADmemesBR,,0,2,0.000286,2,0,2,2,0,2
mottabrendis,mottabrendis,,0,2,0.000146,0,1,1,0,1,1
Daffine17,Daffine17,,0,2,0.000146,0,1,1,0,1,1
mxrvelwkndx,mxrvelwkndx,,0,2,0.000146,0,1,1,0,1,1
apaulacipriano,apaulacipriano,,0,2,0.000146,0,1,1,0,1,1
ingriddmota1,ingriddmota1,,0,2,0.0136,178,0,178,178,0,178
paulinhaapareci,paulinhaapareci,,0,0,0.000146,0,1,1,0,1,1
chlie_,chlie_,,0,0,0.026226,269,0,269,269,0,269
firelipsfire,firelipsfire,,0,2,0.000146,0,1,1,0,1,1
anakarine_cruz,anakarine_cruz,,0,2,0.005667,115,1,116,115,1,116
chatanara,chatanara,,0,0,0.000146,0,1,1,0,1,1
jonasoliver28,jonasoliver28,,0,0,0.000146,0,1,1,0,1,1
Julia_mouraj,Julia_mouraj,,0,2,0.000146,0,1,1,0,1,1
123brunareis,123brunareis,,0,2,0.00755,94,0,94,94,0,94
alicesaintt,alicesaintt,,0,2,0.000146,0,2,2,0,2,2
MottyWei,MottyWei,,0,2,0.000146,0,1,1,0,1,1
umleaozin,umleaozin,,0,2,0.002717,29,0,29,29,0,29
paiva_pavao,paiva_pavao,,0,2,0.000146,0,1,1,0,1,1
kamilly_loopes,kamilly_loopes,,0,2,0.000146,0,1,1,0,1,1
rareobscurities,rareobscurities,,0,2,0.009388,98,0,98,98,0,98
juhslt,juhslt,,0,2,0.000146,0,1,1,0,1,1
Oeizis,Oeizis,,0,2,0.006332,91,2,93,91,2,93
afuckinggalaxy,afuckinggalaxy,,0,2,0.000146,0,1,1,0,1,1
kathfontana,kathfontana,,0,2,0.000146,0,1,1,0,1,1
isgomes100,isgomes100,,1,0,0,0,0,0,0,0,0
muylocohoy,muylocohoy,,1,0,0,0,0,0,0,0,0
_problema_seu,_problema_seu,,0,0,0.000146,0,2,2,0,2,2
sampaioswj,sampaioswj,,0,0,0.000146,0,1,1,0,1,1
euelisouzza,euelisouzza,,0,0,0.000146,0,1,1,0,1,1
inflnitej,inflnitej,,0,2,0.000146,0,2,2,0,2,2
Pender666,Pender666,,0,2,0.003756,82,1,83,82,1,83
la_maritaca,la_maritaca,,0,2,0.000146,0,5,5,0,5,5
vivacqua,vivacqua,,0,2,0.003479,65,0,65,67,0,67
NaciMoraes,NaciMoraes,,0,2,0.009272,120,1,121,120,1,121
stckwitme,stckwitme,,0,2,0.000319,9,0,9,9,0,9
eclipsejae,eclipsejae,,0,2,0.000146,0,1,1,0,1,1
Andreinaaa998,Andreinaaa998,,0,0,0.000146,0,1,1,0,1,1
MarceloTVentura,MarceloTVentura,,0,2,0.000146,0,4,4,0,4,4
juboladex,juboladex,,0,2,0.022649,210,1,211,210,1,211
itsonlyjeh,itsonlyjeh,,0,2,0.018426,230,0,230,230,0,230
RobsonToste,RobsonToste,,0,2,0.000146,0,1,1,0,1,1
sheisourfriend,sheisourfriend,,0,2,0.000146,0,1,1,0,1,1
AuroraRos3,AuroraRos3,,0,0,0.000146,0,2,2,0,2,2
Fernando348,Fernando348,,0,0,0.001357,13,0,13,13,0,13
sandesdj,sandesdj,,0,0,0.000146,0,1,1,0,1,1
fritzennoficial,fritzennoficial,,0,2,0.000146,0,1,1,0,1,1
raysalves30,raysalves30,,0,2,0.000146,0,2,2,0,2,2
langeana,langeana,,0,2,0.000146,0,1,1,0,1,1
Deyviso06748849,Deyviso06748849,,0,2,0.000467,4,0,4,4,0,4
Tlioprinces,Tlioprinces,,0,2,0.000146,0,1,1,0,1,1
NettoRPSP,NettoRPSP,,0,2,0.000718,7,0,7,7,0,7
Hayesalute,Hayesalute,,0,2,0.000146,0,1,1,0,1,1
naticristinam,naticristinam,,0,0,0.000146,0,1,1,0,1,1
hobiffect_,hobiffect_,,0,0,0.000146,0,1,1,0,1,1
C4iO,C4iO,,0,2,0.000154,1,1,2,1,1,2
_oitnbmemes,_oitnbmemes,,0,2,0.000146,0,1,1,0,1,1
gresler_,gresler_,,0,2,0.000146,0,2,2,0,2,2
AGabriellaPerez,AGabriellaPerez,,0,2,0.001817,35,0,35,35,0,35
berrginess,berrginess,,0,0,0.000146,0,1,1,0,1,1
bruhvsr,bruhvsr,,0,2,0.000146,0,4,4,0,4,4
jarbasajota,jarbasajota,,0,2,0.002201,46,0,46,46,0,46
baehy_n,baehy_n,,0,2,0.000146,0,1,1,0,1,1
dmnohector,dmnohector,,0,5,0.000146,0,2,2,0,2,2
CaiqueAlmeida19,CaiqueAlmeida19,,0,5,0.008619,70,0,70,70,0,70
Yormochi,Yormochi,,0,2,0.000146,0,1,1,0,1,1
leticeu,leticeu,,0,2,0.004202,43,0,43,43,0,43
laripoopin,laripoopin,,0,2,0.000146,0,1,1,0,1,1
kittyybrito,kittyybrito,,0,2,0.000146,0,1,1,0,1,1
JaquelineLameu,JaquelineLameu,,0,2,0.000928,15,0,15,15,0,15
rodrigocsjesus,rodrigocsjesus,,0,2,0.000146,0,2,2,0,2,2
_yhtaN_,_yhtaN_,,0,2,0.000239,3,0,3,3,0,3
VBTSBB,VBTSBB,,0,0,0.000146,0,1,1,0,1,1
_comeflywithme,_comeflywithme,,0,0,0.000146,0,1,1,0,1,1
shyz1_,shyz1_,,0,2,0.000146,0,1,1,0,1,1
TheUnreal_Boy,TheUnreal_Boy,,0,0,0.000146,0,1,1,0,1,1
thisgrrrrrrrl,thisgrrrrrrrl,,0,1,0.000146,0,1,1,0,1,1
brunnosarttori,brunnosarttori,,0,1,0.005053,40,0,40,40,0,40
twimoonbyul,twimoonbyul,,0,2,0.000146,0,3,3,0,3,3
louistcIoud,louistcIoud,,0,2,0.000146,0,1,1,0,1,1
ohkobain,ohkobain,,0,2,0.000146,0,4,4,0,4,4
UOLNoticias,UOLNoticias,,0,2,0.000737,6,0,6,6,0,6
Aline_Sodre,Aline_Sodre,,0,2,0.003887,87,0,87,87,0,87
eicarolyne,eicarolyne,,0,2,0.000146,0,2,2,0,2,2
COnTVReal2,COnTVReal2,,0,2,0.0096,138,0,138,138,0,138
delenasmndes,delenasmndes,,0,2,0.000146,0,2,2,0,2,2
danjonean,danjonean,,2,0,0,0,0,0,0,0,0
imunhosz,imunhosz,,2,0,0,0,0,0,0,0,0
PerolaaP,PerolaaP,,0,2,0.000146,0,1,1,0,1,1
weyllanee,weyllanee,,3,0,0,0,0,0,0,0,0
MairaMmoraeS,MairaMmoraeS,,3,0,0,0,0,0,0,0,0
CaiAssis,CaiAssis,,0,0,0.000146,0,1,1,0,1,1
eairichardo,eairichardo,,0,2,0.000146,0,1,1,0,1,1
Gaby_Bolsi,Gaby_Bolsi,,0,2,0.000146,0,1,1,0,1,1
mlnmszz,mlnmszz,,0,0,0.000146,0,1,1,0,1,1
valtersisinfo,valtersisinfo,,0,2,0.000146,0,2,2,0,2,2
LuizFelipe12567,LuizFelipe12567,,0,0,0.000146,0,1,1,0,1,1
SouwilliamJs,SouwilliamJs,,0,2,0.000146,0,2,2,0,2,2
DellGarcez,DellGarcez,,0,2,0.000146,0,1,1,0,1,1
MarcoRabanne,MarcoRabanne,,0,2,0.001079,14,0,14,14,0,14
HeLoisa_Chow,HeLoisa_Chow,,0,2,0.000146,0,4,4,0,4,4
amarinabarbieri,amarinabarbieri,,0,2,0.000301,2,4,6,2,4,6
FabianeFurlin,FabianeFurlin,,0,2,0.001292,34,0,34,34,0,34
oficial_andrex,oficial_andrex,,0,2,0.000177,1,0,1,1,0,1
erika_feitoza,erika_feitoza,,0,2,0.000146,0,1,1,0,1,1
cardoso_sobral,cardoso_sobral,,0,0,0.000146,0,1,1,0,1,1
RegiaEdna,RegiaEdna,,0,2,0.000146,0,1,1,0,1,1
Brenda29767499,Brenda29767499,,0,2,0.000146,0,1,1,0,1,1
GraziVitorinoo,GraziVitorinoo,,0,0,0.000146,0,1,1,0,1,1
guigawwe12,guigawwe12,,0,2,0.000146,0,4,4,0,4,4
olicantropo,olicantropo,,0,2,0.000146,0,1,1,0,1,1
_moutabernardo,_moutabernardo,,0,2,0.00085,7,0,7,7,0,7
karinisimoess,karinisimoess,,0,0,0.000146,0,1,1,0,1,1
_littlefenty,_littlefenty,,0,2,0.000146,0,1,1,0,1,1
JubaDevonne,JubaDevonne,,0,2,0.000146,0,1,1,0,1,1
rafaeldiegosm,rafaeldiegosm,,0,1,0.000146,0,1,1,0,1,1
EduardPadalecki,EduardPadalecki,,0,0,0.000146,0,1,1,0,1,1
anandacerq,anandacerq,,0,2,0.000146,0,1,1,0,1,1
airmons,airmons,,0,2,0.000146,0,1,1,0,1,1
kelrii_torresmo,kelrii_torresmo,,0,2,0.000146,0,3,3,0,3,3
AnaPaul46580051,AnaPaul46580051,,0,2,0.000146,0,2,2,0,2,2
PAULONEY2,PAULONEY2,,0,1,0.000146,0,2,2,0,2,2
tasquimer,tasquimer,,0,2,0.000146,0,1,1,0,1,1
atenerifesea,atenerifesea,,0,0,0.000146,0,2,2,0,2,2
leticia_mocelin,leticia_mocelin,,0,0,0.000146,0,2,2,0,2,2
marijualanax,marijualanax,,0,0,0.000146,0,1,1,0,1,1
fhu_ribeiro,fhu_ribeiro,,0,2,0.000146,0,1,1,0,1,1
joaovictorsluiz,joaovictorsluiz,,0,2,0.000146,0,1,1,0,1,1
darlingyeom,darlingyeom,,0,2,0.000146,0,1,1,0,1,1
Pedro_Timoteo_,Pedro_Timoteo_,,0,0,0.000146,0,1,1,0,1,1
ribeiro_keliane,ribeiro_keliane,,4,0,0,0,0,0,0,0,0
DraClaudiaBr38,DraClaudiaBr38,,4,0,0,0,0,0,0,0,0
apraniaht,apraniaht,,0,2,0.000146,0,2,2,0,2,2
munikuedutra,munikuedutra,,0,2,0.000146,0,1,1,0,1,1
digoudug,digoudug,,0,2,0.000146,0,1,1,0,1,1
pintinhozangado,pintinhozangado,,0,2,0.000146,0,1,1,0,1,1
AMAURTGS,AMAURTGS,,0,0,0.000146,0,1,1,0,1,1
nickersskt,nickersskt,,0,4,0.000146,0,1,1,0,1,1
MARCO5_PAULO,MARCO5_PAULO,,0,4,0.017822,180,0,180,180,0,180
prienaira,prienaira,,0,0,0.000146,0,1,1,0,1,1
Lico_Pirulito,Lico_Pirulito,,0,2,0.000146,0,8,8,0,8,8
abdiastiburcio,abdiastiburcio,,0,2,0.000286,2,0,2,2,0,2
TioChunnda,TioChunnda,,0,2,0.002433,24,0,24,24,0,24
eguafelipe,eguafelipe,,0,2,0.000146,0,16,16,0,16,16
P1nkyD1nky,P1nkyD1nky,,0,2,0.001683,39,0,39,39,0,39
thiagofst01,thiagofst01,,0,2,0.000453,21,0,21,21,0,21
coorujajunior,coorujajunior,,0,2,0.000404,7,0,7,7,0,7
nonnenmacherr,nonnenmacherr,,0,2,0.000146,0,1,1,0,1,1
MathyD3,MathyD3,,0,2,0.000146,0,1,1,0,1,1
ballyphepher,ballyphepher,,5,0,0,0,0,0,0,0,0
kaaciosantoss,kaaciosantoss,,5,0,0,0,0,0,0,0,0
aflordelata,aflordelata,,0,2,0.000146,0,1,1,0,1,1
occultfreckles,occultfreckles,,0,2,0.000146,0,1,1,0,1,1
LolNenhos,LolNenhos,,0,2,0.000146,0,1,1,0,1,1
annangie_,annangie_,,0,2,0.000146,0,1,1,0,1,1
lucanideos,lucanideos,,0,2,0.000146,0,1,1,0,1,1
protectpink,protectpink,,0,2,0.000146,0,1,1,0,1,1
ElisonNC,ElisonNC,,0,0,0.000146,0,1,1,0,1,1
regalducklin,regalducklin,,0,2,0.000146,0,1,1,0,1,1
ErickPinheiroS1,ErickPinheiroS1,,6,0,0,0,0,0,0,0,0
MatheusS04111,MatheusS04111,,6,0,0,0,0,0,0,0,0
systemofasuco,systemofasuco,,0,2,0.000146,0,1,1,0,1,1
hmariahc,hmariahc,,7,0,0,0,0,0,0,0,0
KevinOChris,KevinOChris,,7,0,0,0,0,0,0,0,0
araujoao7,araujoao7,,0,2,0.000146,0,1,1,0,1,1
edgarkhouri,edgarkhouri,,0,1,0.000146,0,1,1,0,1,1
lovestylesweetx,lovestylesweetx,,0,2,0.000146,0,2,2,0,2,2
GMacioski,GMacioski,,0,0,0.000146,0,1,1,0,1,1
Edson25315985,Edson25315985,,0,2,0.000146,0,1,1,0,1,1
jhinferencial,jhinferencial,,0,0,0.000146,0,1,1,0,1,1
Pqp_Thaataa,Pqp_Thaataa,,0,2,0.000146,0,5,5,0,5,5
ComiaMadonna_,ComiaMadonna_,,0,1,0.000146,0,1,1,0,1,1
GesieldeSousaM1,GesieldeSousaM1,,0,2,0.000146,0,1,1,0,1,1
sikecilmarmut,sikecilmarmut,,8,0,0,0,0,0,0,0,0
coffeesxpjm,coffeesxpjm,,8,0,0,0,0,0,0,0,0
Arielefreire16,Arielefreire16,,0,2,0.000146,0,1,1,0,1,1
liviaabel,liviaabel,,0,2,0.000146,0,1,1,0,1,1
lol_bahfelicia,lol_bahfelicia,,0,2,0.000146,0,3,3,0,3,3
_3dimensional,_3dimensional,,0,2,0.017043,131,0,131,131,0,131
SuianyP,SuianyP,,0,2,0.000146,0,1,1,0,1,1
ThePurpleLve,ThePurpleLve,,0,2,0.000146,0,1,1,0,1,1
mariacwatanabe,mariacwatanabe,,0,2,0.000146,0,1,1,0,1,1
shinesaber,shinesaber,,0,2,0.000146,0,1,1,0,1,1
_ygabsa,_ygabsa,,0,2,0.000146,0,2,2,0,2,2
wayhaught_br,wayhaught_br,,0,2,0.000146,0,9,9,0,9,9
m_nogs,m_nogs,,0,2,0.000295,8,0,8,8,0,8
lilacffsilvate,lilacffsilvate,,0,1,0.000146,0,1,1,0,1,1
eumarcellie,eumarcellie,,0,2,0.000146,0,2,2,0,2,2
loveandliveme,loveandliveme,,0,0,0.000146,0,2,2,0,2,2
maudorias,maudorias,,9,0,0,0,0,0,0,0,0
raquelrealofc,raquelrealofc,,9,0,0,0,0,0,0,0,0
MarcusLBarsano,MarcusLBarsano,,0,2,0.000146,0,1,1,0,1,1
