Id,Label,timeset,modularity_class,pageranks,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
989Gabriel,989Gabriel,,0,0.000039,0,0,0,0,0,0,0
Farm_Pride,Farm_Pride,,0,0.000072,0,0,0,0,0,0,0
shahnaqi84,shahnaqi84,,0,0.000039,1,0,0,0,0,0,0
sitaravirgo,sitaravirgo,,0,0.000105,1,0,0,0,0,0,0
PaysCwt,PaysCwt,,0,0.000039,2,0,0,0,0,0,0
beckysargeant80,beckysargeant80,,7,0.000068,3,0,1,1,0,1,1
GMBWestMidlands,GMBWestMidlands,,7,0.000358,3,6,0,6,7,0,7
OficialBHTRANS,OficialBHTRANS,,0,0.000039,4,0,0,0,0,0,0
katecamil,katecamil,,7,0.000068,3,0,1,1,0,1,1
nypl,nypl,,7,0.005953,3,102,0,102,102,0,102
OBriainTweets,OBriainTweets,,0,0.000039,5,0,0,0,0,0,0
FoilArmsAndHog,FoilArmsAndHog,,0,0.0005,5,0,0,0,0,0,0
_pequenaa07,_pequenaa07,,1,0.000068,3,0,1,1,0,1,1
moonlnss,moonlnss,,1,0.009106,3,187,1,188,187,1,188
JTopKek,JTopKek,,0,0.000068,3,0,1,1,0,1,1
KFC_UKI,KFC_UKI,,0,0.061865,3,1077,0,1077,1077,0,1077
MachineGean,MachineGean,,0,0.000039,6,0,0,0,0,0,0
StarrcastEvents,StarrcastEvents,,0,0.000105,6,0,0,0,0,0,0
syusukesyafa,syusukesyafa,,4,0.000068,3,0,1,1,0,1,1
NASA,NASA,,4,0.046945,3,822,0,822,822,0,822
arnaupnow,arnaupnow,,6,0.000068,3,0,1,1,0,1,1
franjacr,franjacr,,6,0.000578,3,7,0,7,7,0,7
boxingepicenter,boxingepicenter,,0,0.000039,7,0,0,0,0,0,0
ChocCityComics,ChocCityComics,,0,0.000138,7,0,0,0,0,0,0
rick_froc,rick_froc,,1,0.000068,3,0,1,1,0,1,1
xiurafael,xiurafael,,1,0.005157,3,124,0,124,124,0,124
bohobanshees,bohobanshees,,0,0.000039,8,0,0,0,0,0,0
Twiggypeasticks,Twiggypeasticks,,0,0.000105,8,0,0,0,0,0,0
Yuriimoraess_,Yuriimoraess_,,1,0.000068,3,0,1,1,0,1,1
africanize_,africanize_,,1,0.015042,3,291,0,291,291,0,291
Xenopussy,Xenopussy,,0,0.000039,9,0,0,0,0,0,0
EmporersNewC,EmporersNewC,,0,0.000072,9,0,0,0,0,0,0
ripalda76,ripalda76,,6,0.000068,3,0,1,1,0,1,1
VictorGonz54,VictorGonz54,,6,0.002861,3,50,0,50,50,0,50
MarkLRandall,MarkLRandall,,3,0.000068,3,0,2,2,0,2,2
Shoppingforgift,Shoppingforgift,,3,0.000097,3,1,1,2,1,1,2
So_Lippy,So_Lippy,,3,0.001625,3,36,0,36,39,0,39
zaleja6,zaleja6,,0,0.000039,10,0,0,0,0,0,0
muyinteresante,muyinteresante,,0,0.000105,10,0,0,0,0,0,0
molkenning,molkenning,,0,0.000068,3,0,1,1,0,1,1
om2kool,om2kool,,0,0.000039,11,0,0,0,0,0,0
wrestlelamia,wrestlelamia,,0,0.000105,11,0,0,0,0,0,0
Chica_Chubb,Chica_Chubb,,0,0.000039,12,0,0,0,0,0,0
OutofPrintTees,OutofPrintTees,,0,0.000072,12,0,0,0,0,0,0
kagiso_Chokoe,kagiso_Chokoe,,7,0.000068,3,0,1,1,0,1,1
BudweiserSA,BudweiserSA,,7,0.013914,3,244,0,244,251,0,251
hloniscott,hloniscott,,7,0.000068,3,0,1,1,0,1,1
PieterReparon,PieterReparon,,0,0.000039,13,0,0,0,0,0,0
hetiswa,hetiswa,,0,0.000072,13,0,0,0,0,0,0
Delice_DesignJS,Delice_DesignJS,,0,0.000039,14,0,0,0,0,0,0
DeliceFranceFS,DeliceFranceFS,,0,0.000055,14,0,0,0,0,0,0
DeliceRetail,DeliceRetail,,0,0.000055,14,0,0,0,0,0,0
MorenoRommer,MorenoRommer,,0,0.000039,15,0,0,0,0,0,0
PrensaRank,PrensaRank,,0,0.000632,15,0,0,0,0,0,0
ALSLV12,ALSLV12,,6,0.000068,3,0,1,1,0,1,1
KeylinAcosta,KeylinAcosta,,6,0.001489,3,27,0,27,27,0,27
SilentSybil,SilentSybil,,0,0.000039,16,0,0,0,0,0,0
Shadowy_Whisper,Shadowy_Whisper,,0,0.000105,16,0,0,0,0,0,0
TooimpulsiveMyz,TooimpulsiveMyz,,7,0.000068,3,0,2,2,0,2,2
shaunwkeaveny,shaunwkeaveny,,7,0.001291,3,28,0,28,28,0,28
trouteyes,trouteyes,,7,0.000098,3,2,0,2,2,0,2
thaybutterfly,thaybutterfly,,0,0.000039,17,0,0,0,0,0,0
The100Brasil,The100Brasil,,0,0.000171,17,0,0,0,0,0,0
KelseyRaiyne,KelseyRaiyne,,0,0.000068,3,0,1,1,0,1,1
AliCat2329,AliCat2329,,3,0.000068,3,0,1,1,0,1,1
boohoo,boohoo,,3,0.004031,3,75,0,75,75,0,75
